name,category,tags,desc
Community Car Service Vehicles,"","transportation, taxi, limousine, community, car, ...",All TLC community car service vehicles
Kanna_311,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
DYCD after-school programs: NDA Family Literacy,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer “NDA (Neighborhood Development Area) Reading and Writing Program” after-school  family literacy programs.  - Department of Youth and Community Development (DYCD)."
Selected Facilities and Program Sites: Access,Facilities and Structures,"","Data providing the location, type and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs."
Selected Facilities and Program Sites: Access,Property,"service, services, property, facility, facilities, ...","Data providing the location, type and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs."
SubwayTransfers [ArcGIS_rest_services_DOITTServices_SubwayTransfersWM_MapServer_0],"","",http://184.73.88.228/ArcGIS/rest/services/DOITTServices/SubwayTransfersWM/MapServer/0
Map of Multipurpose Fields,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of Multipurpose Fields in New York City Department of Parks & Recreation properties.
Yellow Medallion Taxicabs - Drivers Who Have Completed Passenger Assistance Training,Transportation,"business, taxi, vehicle, transportation, license","Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab. 

This list includes the driver names, TLC license number, and license expiration date of Yellow Medallion Drivers who have completed both Accessible Passenger Assistance Training Courses."
Approved licensees,Business and Economic,"wholesale, vendor, license, registration, ...",Approved licensees and registrants for trade waste
Directory of Zoos and Aquariums,Facilities and Structures,"",Zoos and aquariums in New York City Department of Parks & Recreation properties.
DOF: Condominium comparable rental income – Staten Island - FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
Types Of Allegations In Complaints Received 2005 - 2009,Social Services,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Types of Allegations in Complaints Received 2005 - 2009
2011 Disciplinary Actions Architects And Engineers,Facilities and Structures,"dob, department of buildings, buildings, ...",2011 disciplinary actions architects and engineers
Projected Median Age By Borough 2000-2030,Statistics,"",Median Age of the population of New York City in total and by Borough: unadjusted decennial census data from 1950-2000 and projected figures from 2010-2030.
JFK Airtrain,Transportation,"geographic, location, map, cartography, ...",Line feature representing the JFK airtrain.
NYS Math Test Results By Grade 2006-2011 - School Level - By Gender,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated."
Map View,"","retail, sale, sell, license, store, electronics, ...",A list of electronics stores that have a current DCA license as of the run date.
BPL Electronic Resources,Library,"","A list of electronic databases available at Brooklyn Public Library.
Update schedule: As required"
NYS Math Test Results by Grade 2006-2011 - Citywide - by Disability Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency."
Google Map of 311 Placard Complaints - 2009,Other,"311, 311 service requests, 2009, ...",All 311 Requests from year 2009. This is historical data and will not be updated.
"School, Health, Fire & Police GIS: Fire Divisions",Public Safety,"geographic, location, map, cartography, safety, ...",GIS data: Boundaries of Fire Divisions
nyc_museum_gal_1,Cultural Affairs,"museums, galleries, art, culture, museo",Museums and Galleries
English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - by Race-Ethnicity,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
Luxury Limousine Services - Vehicles,Transportation,"","Luxury Limousine Bases provide pre-arranged premium transportation to clients throughout New York City. This list includes license numbers, names(s) of licensees, addresses, phones, and license types. This list includes detailed vehicle information, including affiliated base, license numbers, names(s) of licensees, DMV license plate and VIN numbers, license types, expiration date, and model year."
English Language Arts (ELA) Test Results by Grade 2006-2011 - District - by Gender,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
English Language Arts (ELA) Test Results by Grade 2006-2011 - District - All Students,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
CCRB: Determinations to Recommend Other Misconduct  2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009. When a determination to recommend other misconduct occurs in a case in which an allegation of force, abuse of authority, discourtesy, or offensive language (FADO) was substantiated, it is categorized as ""with subbed FADO allegation."" When such an allegation is not substantiated, the determination to recommend other misconduct is categorized as ""without subbed FADO allegation.""
Update Schedule: Annually"
Weekly resurfacing schedule,Transportation,"transportation, travel, resurface, condition, ...",RSS Feed displaying the weekly resurfacing schedule
TEA,Business and Economic,"civil, service, civil service, title",List of civil service titles used by agencies throughout the City
Commuter Van Services - Authorizations,Transportation,"","Commuter Van Authorizations provide pre-arranged transportation to passengers throughout New York City on a regular daily basis. They are authorized to operate within specific geographic areas. This list includes license numbers, names(s) of licensees, addresses, and phone numbers."
DYCD RHY (Runaway and Homeless Youth) Services,Community Service,"geographic, location, map, cartography, basemap, ...",Runaway and Homeless Youth Services
Paratransit Bases,"","transportation, taxi, limousine, vehicle, ...",All TLC paratransit bases
NYS Math Test Results By Grade 2006-2011 - District - By Gender,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer."
Open Balance (Queens),Property,"department of finance, finance, dof, queens, ...",Property tax balance and payment information for all active properties
test,Transportation,"geographic, location, map, cartography, ...",Location of the ferry terminals with basic descriptive information.
CCRB: Attribution of Complaints to Patrol Boroughs and Other Commands 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
NYC Department of Design and Construction (DDC): Competitive Bids,Business and Economic,"contractors, bids, advertisements, competition","Purpose: Facilitate subscription to bid advertisements posted by DDC
Target audience: Contractors
Update Schedule: As needed"
Directory of Parks Disability Accessibility Facilities and Programs,"","park, parks, nature, recreation, disability, ...",Recreational facilities in New York City Department of Parks & Recreation properties that are accessible to the disabled.
NYS Math Test Results by Grade 2006-2011 - Citywide - by English Proficiency Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency."
CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Transit Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually"
2011 Voluntary Surrender Of Privileges Architects And Engineers,Facilities and Structures,"dob, department of buildings, buildings, ...",2011 Voluntary Surrender of Privileges Architects and Engineers
NYC Truck Routes (Local and Thru maps),Transportation,"","""The New York City Truck Routes represents Local and Through Truck Routes in New York City, created by the New York City Department of Transportation. They feature the City's comprehensive Truck Route Network overlaid on top of the entire arterial street network making it easier for drivers to locate specific streets and intersections, thus providing the best way for trucks to travel around the City.
These maps also contain helpful information for drivers, on truck route signage, weight limits and dimensions, overweight/over dimensional permitting and truck related violations as well as City, regional and state truck-related resources."""
CCRB: Attribution of Complaints to Patrol Borough Queens South 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
English Language Arts (ELA) Test Results by Grade 2006-2011 - Citywide - All Students,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
2010-2011 Class Size - Borough Summary,Education,"","This file shows average class size for each borough, aggregated by grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core course.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported."
Clear Channel Sign List - Times Sqaure,Other,"times square alliance, times square, crossroads, ...",Clear Channel Spectacolor Sign Locations in Times Square
DCA Test,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Patient Population at World Trade Center (WTC) Environmental Health Center,Health,"health, patient, world trade center, wtc, 9/11","HHC's WTC Environmental Health Center program, one of three Centers of Excellence in New York City, provides medical and mental healthcare to residents, students, workers, and passersby who may still be sick from 9/11.  This data shows the patient population of the program from 2008 to 2011.
Update Frequency: As needed"
Distribution Of Force Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Distribution of Force Allegations 2005 - 2009
01,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of New York City Department of Parks & Recreation parks.
Montague Street Business Improvement District. (BID),Business and Economic,"business improvement district, bid, block, ...","A list of business on Montague Street in Brooklyn.
Update Frequency: As needed"
DYCD after-school programs: NDA Educational Middle School Programs,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer “Neighborhood Development Area (NDA) Educational Middle School Programs” after-school  programs for children in Middle School.
Update Schedule: Annually"
Manhattan Noise 2008 - Addenum - Street & Cars,Other,"311, 311 service requests, 2008, ...",311 Service Requests for 2008. This is historical data and will not be updated.
NYC School Survey - 2008 - District 75,Education,"","Every year, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

Over 800,000 New Yorkers participated in the survey in 2008. 347,829 parents, 48,002 teachers, and 410,708 students submitted surveys and contributed feedback to their schools."
Park Closure Notifications,Facilities and Structures,"",Closures effecting the availability of New York City Department of Parks & Recreation properties or facilities therein.
DHS HomeBase,Government,"mayor's office of operations, operations, ops, ...",Data on the usage of stimulus/recovery funds provided through the American Recovery and Reinvestment Act of 2009 (ARRA)
Production studio map,Media,"property, business, media, production, record, ...","List of Commercial space for recording and sound production in New York City. This is a list of studios which have requested to be included, rather than a comprehensive list of NYC facilities."
Directory of Nature Centers,Environmental Sustainability,"",Nature Centers in New York City Department of Parks & Recreation properties.
NYPL Branch Services - Bronx,Library,"libraries, culture, community, recreation, ...",New York Public Library (NYPL) branch services from July 2010 to June 2011(Bronx)
Selected Facilities and Program Sites: Text,Facilities and Structures,"","Data providing the location, type, and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs."
Watershed statistics,"","department of environmental protection, dep, ...",County and Town Area Statistics for the NYC East-of-Hudson Watershed (including towns within a watershed county that are completely outside watershed)
CCRB: Command Rankings: Complaints per Uniformed Officer 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually"
Group Ride Vehicle Pilot Program - Vehicles,Transportation,"","The New York City Taxi and Limousine Commission (TLC) has approved a new Group Ride Vehicle pilot program to provide an alternative transportation option for New Yorkers in neighborhoods with reduced or eliminated bus service. This new service will allow point to point, shared-rides among specified pick-up and drop-off locations. This pilot program will run for one year. All licenses issued under this pilot will expire one-year from date of issuance. This lists affiliated base license numbers, names, and other vehicle information."
2010 Disciplinary Actions - Filing Rep Formerly Expediter,Facilities and Structures,"dob, department of buildings, buildings, ...",2010 disciplinary actions - filing rep formerly expediter
CCRB: Age of Alleged Victims Compared to New York City Demographics 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ...","A statistical breakdown, by age and year, of alleged victims compared to New York City demographics 2005 - 2009"
NYS Math Test Results By Grade 2006-2011 - School Level - By Disability Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated."
DYCD after-school programs: Teen ACTION Programs,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer “Teen ACTION Programs” after-school  programs for children ages 13 to 21.
Update Schedule: Annually"
Mapped View,Business and Economic,"downtown, brooklyn, partnership, retail, retailer, ...",List of retail location in the DBP district
Luxury Limousine Services - Bases,Transportation,"","Luxury Limousine Bases provide pre-arranged premium transportation to clients throughout New York City. This list includes license numbers, names(s) of licensees, addresses, phones, and license types."
DYCD after-school programs: Adolescent Literacy,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer after-school programs and learning resources for adolescent literacy.
Update Schedule: Annually"
2010 Disciplinary Actions Unlicensed Plumbers,Facilities and Structures,"dob, department of buildings, buildings, ...",2010 Disciplinary actions unlicensed plumbers
DEP -  Bureau of Wastewater Treatment (BWT) – 2011 Nuisance Complaints,Environmental Sustainability,"dep, environment, environmental protection, ...","A database of Department of Environmental Protection (DEP) nuisance complaints, by wastewater treatment plants and by monthly totals in the year 2011, assembled by the Bureau of Wastewater Treatment (BWT)"
DCLA Cultural Organization Resources,Cultural Affairs,"dcla, culture, cultural affairs, resources, ...",A list of organizations that provide services and/or information useful to artists and cultural organizations
Reservoir and Dam statistics,Environmental Sustainability,"department of environmental protection, dep, ...",Statistics pertaining to local reservoirs and dams
Projected Population 2000-2030 - Males By Age Groups,Statistics,"","Projected male New York City population for five intervals from 2000 through 2030 by borough, broken down by 18 age cohorts. (Age groups may not add up to the total due to rounding.)"
How Complaints Filed With The NYPD Were Reported 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: How Complaints Filed with the NYPD Were Reported 2005 - 2009
Latin Cultural Organizations Map,Cultural Affairs,"culture, entertainment, media, latin, cultural, ...",Listing of Latin cultural organizations
"Chancellor of NYC Board of Education, 1970-1989",Government,"library, catalog, catalogue, report, record, ...","The records of the Chancellor of NYC Board of Education, 1970-1989, documenting the work of the chief educational officer of the public school system."
NYC City Hall Library Publications,Library,"","""Official publications submitted by city agencies in electronic format to the City Hall Library, also available at http://nyc.gov/html/records/html/govpub/home.shtml
"""
Paratransit Services - Vehicles,Transportation,"","Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the services take individuals to and from health care facilities. This list includes detailed vehicle information, including affiliated base, license numbers, names(s) of licensees, DMV license plate and VIN numbers, license types, expiration date, and model year."
Directory of Public Computer Resource Centers,Facilities and Structures,"recreation, internet, access",Computer resource centers in New York City Department of Parks & Recreation properties.
CCRB: Attribution of Complaints to Other Bureaus 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
elec1,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Distribution Of Offensive Language Allegations 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Distribution of Offensive Language Allegations 2005 - 2009
CCRB: Attribution of Complaints to the Detective Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
Vehicle Insurance,Transportation,"",All insurance information for TLC licensed vehicles.
NYC Budget Revenue Additional,Finances,"revenue, omb, fiscal, financial, plan, future, tax, ...","Data set contains revenue for actual fiscal years and five financial plan fiscal years. Revenue include Taxes, Miscellaneous Revenues, Unrestricted Intergovernmental Aid, Disallowance of Categorical Grants, Federal Grants, State Grants, Other Categorical Grants, and Capital IFA. Additional revenue subcategories provided for Miscellaneous Revenues, Federal Grants, and State Grants."
CCRB:  Average Days for the CCRB to Close Cases Measured from Date of Report 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
NYC Department of Design and Construction (DDC): Closed Requests for Proposals,Business and Economic,"requests for proposal, rfp, contractors, ...","Purpose: Inform consultant about the results of the RFP process
Target audience: Consultants.
Update Frequency: As needed"
Press Releases,Government,"",Official New York City Department of Parks & Recreation Press Releases
2011 Disciplinary Actions - Licensed Master Plumbers,Facilities and Structures,"dob, department of buildings, buildings, ...","2011 Disciplinary actions - licensed master plumbers

Update schedule: as required"
DYCD after-school programs: NDA Youth Employment Programs,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer “NDA Neighborhood Development Area Youth Employment  Program” after-school  job and internship programs for children and young adults ages 14 to 21 in Middle School, in High School, or in all grades.
Update Frequency: Annually"
SchoolDistricts [ArcGIS_rest_services_DOITTServices_SchoolDistrictsWM_MapServer_0],"","",http://184.73.88.228/ArcGIS/rest/services/DOITTServices/SchoolDistrictsWM/MapServer/0
Municipal Parking Facilities (Brooklyn),Transportation,"transportation, parking, brooklyn",RSS Feed displaying municipal parking facilities in Brooklyn.
Open Summonses - Active For-Hire-Vehicle (FHV) Owners,Transportation,"","List of open summonses written against TLC-licensed vehicles. Only open summonses that have not yet been heard in court are shown – that means that the hearings have not happened and a final decision has not been made in these cases. File includes Vehicle License Number, Vehicle's Affiliated Base Number, Summons NNumber, Date Summons Issued, Charge and Disposition."
CCRB: Attribution of Complaints to Traffic Control Division 2005 - 2009,Public Safety,"complaint activity, statistics","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
Manhattan Noise Complaints 2004 Test,Other,"311, 311 service requests, 2004, ...",Test data from all 311 Service Requests for 2004 in Manhattan.
Directory of Barbecuing Areas,Facilities and Structures,"",Designated barbecuing areas in New York City Department of Parks & Recreation properties.
Where Incidents That Led To A Complaint Took Place By Precinct - Bronx 2005 - 2009,Social Services,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Where Incidents that Led to a Complaint Took Place by Precinct - Bronx 2005 - 2009
BPL Branches,Library,"","A list of Brooklyn Public Library Branches, with branch name, locations, directions to, hours of services, name of contact person, and a brief description of the neighborhood the branch services."
Paratransit Services - Bases,Transportation,"","Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities. This list includes license numbers, names(s) of licensees, addresses, and phone numbers."
Map view,Facilities and Structures,"parking, license, parking lot, lot, park",A list of parking facilities that have a current DCA license as of the run date.
2003 Campaign Contributions,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of campaign contributions for candidates for City office during the 2003 election cycle
Municipal Parking Facilities (Bronx),Facilities and Structures,"transportation, parking, bronx",RSS Feed displaying municipal parking facilities and their rates in the Bronx
2010-11 Disciplinary Actions Unlicensed Electricians And Contractors,Facilities and Structures,"dob, department of buildings, buildings, ...",2010-11 Disciplinary Actions Unlicensed Electricians And Contractors
Map View,Business and Economic,"brooklyn, fulton street, mall, business list, ...",Fulton street mall business list
English Language Arts (ELA) Test Results by Grade 2006-2011 - School level - by Race-Ethnicity,Education,"","New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
elec,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Projected Population 1950-2030 - School- Age-- Elderly-- Total By Borough,Statistics,"","Unadjusted decennial census data from 1950-2000 and projected figures from 2010-2030: summary table of New York City population numbers and percentage share by Borough, including school-age (5 to 17), elderly (65+), and total population."
DOF: Condominium Comparable Rental Income – Staten Island – FY 2011/2012,Finances,"department of finance, finance, dof, ...","Condominiums and cooperatives are valued as if they were residential rental apartments. Income information from similar rental properties is applied to determine value.
The Department of Finance (DOF) chooses similar properties to value condos and coops. Properties are selected based on a combination of factors such as: land location, income levels, building age and construction and exemptions and subsidies.
Update Frequency: Annually"
NYPD related datasets,Other,"data sets, list, data",This is the current list of all the datasets available on NYC Open Data
Directory of Parks Disability Accessibility Facilities and Programs,Facilities and Structures,"recreation, sports, outdoor",Recreational facilities in New York City Department of Parks & Recreation properties that are accessible to the disabled.
NYS Math Test Results By Grade 2006-2011 - District - By Disability Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer."
Gender Of Officers Against Whom Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Gender of Officers Against Whom Allegations Were Substantiated 2005 - 2009
DOF: Cooperative Comparable Rental Income – Bronx – FY 2010/2011,Finances,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
NYS Math Test Results By Grade 2006-2011 - Boro - By English Proficiency Status,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency."
NYS Math Test Results By Grade 2006-2011 - Boro - By Gender,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency."
Paratransit Services - Drivers,Transportation,"","Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities. This list includes current status of Paratransit Driver Licenses, including TLC License Number, name of licensee, license type and expiration date."
Municipal Parking Facilities (Queens),Transportation,"transportation, parking, queens",RSS Feed displaying municipal parking facilities in Queens
Police Department Disposition Of Substantiated Cases By Year Of NYPD Closure 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Police Department Disposition of Substantiated Cases by Year of NYPD Closure 2005 - 2009
